distance_group,n_pairs,mean_standard,mean_operon,delta
same_0_200,1336,0.34336008306997096,0.5653490567681878,0.22198897369821685
same_200_500,287,0.21256908718295597,0.24451597440094208,0.03194688721798611
same_500_1000,68,0.16913367506288976,0.20579948934403466,0.036665814281144904
same_1000_2000,74,0.16840812892891574,0.19242878390971124,0.024020654980795503
same_2000_5000,72,0.18188154420467,0.2357099211287442,0.05382837692407419
opp_0_200,431,0.1532788124047144,0.17545926050249191,0.022180448097777528
opp_200_500,236,0.17811529677024462,0.18371513828867755,0.00559984151843293
opp_500_1000,62,0.15214843003569428,0.18392386534377347,0.03177543530807919
opp_1000_2000,65,0.10013469143343648,0.12985625280129326,0.02972156136785678
opp_2000_5000,57,0.11405079979349676,0.13329257823921734,0.019241778445720573
