operon_name,n_genes,confidence,r_standard,r_operon,delta
ycaR-kdsB,2,Weak,0.14627797668480483,0.04536319246085183,-0.100914784223953
yjjUV,2,Weak,0.38572075712761644,0.6977908274145934,0.312070070286977
yqcC-truC-yqcA,3,Weak,0.077697718410428,0.3820054353813069,0.3043077169708789
dinJ-yafQ,2,Weak,0.46742607078321174,0.7952765974815514,0.3278505266983397
pgpC-tadA,2,Weak,0.2102227358456839,0.523363670567289,0.31314093472160515
mdtUJI,2,Weak,0.3066913350195358,0.5133997628842928,0.20670842786475696
betIBA,3,,0.43628541466205845,0.7184979431739786,0.2822125285119202
mdlAB,2,Weak,0.6571042807556725,0.5169817799971572,-0.1401225007585153
ynfB-speG,2,Weak,0.27850301069163264,0.30202345666360036,0.02352044597196773
ppdD-hofBC,2,Weak,0.3608437702728052,0.6044847555364765,0.24364098526367134
mcrBC,2,Strong,0.19157408663460046,0.5489810852377885,0.3574069986031881
yiiS-uspD,2,Weak,0.39610308649927933,0.8158691611711046,0.4197660746718253
valUXY-lysV,2,Weak,0.5490566591621153,0.7571997558188213,0.20814309665670594
pgaABCD,2,Weak,0.3514203533784512,0.8017260096688288,0.4503056562903776
fetAB,2,Weak,0.23050495783261285,0.15286520742101067,-0.07763975041160218
yccFS,2,Weak,0.18584727746743185,0.31408194714819637,0.12823466968076452
yciVOQ,2,Weak,0.4846259351629399,0.735842339182316,0.2512164040193761
abpAB,2,Weak,0.32253413402600395,0.45394661538562997,0.13141248135962602
ymfA-ycfZ,2,Weak,0.4542904523028084,0.2587718546242344,-0.195518597678574
brnQ-proY,2,Weak,0.14020745033554277,0.13500083034328247,-0.005206619992260297
yqgEF,2,Weak,0.11376497707736527,0.5453901711682162,0.4316251940908509
phoBR,2,,0.4173097762914909,0.7632305477284282,0.34592077143693734
yadGH,2,Weak,0.5197625726711159,0.007283308043785979,-0.51247926462733
xylAB,2,Weak,0.13267861001120995,0.48815289835865205,0.3554742883474421
hinT-ycfL-lpoB-thiK-nagZ-ycfP,6,Weak,0.1062785985790314,0.24643447864623694,0.14015588006720553
ykgEFG,2,Weak,0.1029469050916609,0.1533878203514635,0.0504409152598026
bcsEFG,3,Weak,0.5316515078199738,0.5704436719740507,0.038792164154076825
ypfJ-tmcA,2,Weak,0.2684150670975858,0.4133671669122074,0.1449520998146216
yqiJK,2,Weak,0.6117333703735636,0.9218742104313333,0.31014084005776976
cydDC,2,Strong,0.28737293565939787,0.3954333342627315,0.10806039860333361
uxuAB,2,Weak,0.328016232902833,0.7191625476637435,0.39114631476091055
yfdGHI,3,Weak,0.6630120964081229,0.7136122471611724,0.05060015075304958
elfDCG-ycbUVF,2,Weak,0.22117142939188636,0.17986538858065249,-0.041306040811233874
yegTUV,2,Weak,0.1384175610193177,0.2924264745802406,0.15400891356092292
yfhM-pbpC,2,Weak,0.4381781875252572,0.6145880765425518,0.17640988901729454
yheSTU,3,Weak,0.4157550750805958,0.4023367730683063,-0.013418302012289496
ydbH-ynbE-ydbL,3,Weak,0.47851291906564136,0.4847473739953266,0.006234454929685218
pyrLBI,2,Weak,-0.089538158015485,0.4973591788054381,0.5868973368209232
ybaB-recR,2,Weak,0.4290617998173786,0.6151230683246606,0.186061268507282
ycaI-msbA-lpxK-ycaQ,4,Weak,0.27872480745925055,0.42716397903322784,0.1484391715739773
essQ-ydfR-rrrQ-rzpQ-rzoQ,2,Weak,0.6638063827246115,0.5559771717533496,-0.10782921097126186
prmB-aroC-mepA-yfcA-epmC-yfcL,6,Weak,0.375240183619873,0.4803018275235517,0.10506164390367873
yhdT-panF-prmA,3,Weak,0.27649926867229935,0.4193492255390477,0.14284995686674834
sbcDC,2,Weak,0.06055949138033248,0.2782290591419652,0.21766956776163274
ybgTE,2,Weak,-0.40181026204975917,0.414967692133303,0.8167779541830622
guaBA,2,Weak,0.447231324429401,0.5546204191091478,0.10738909467974683
thiCEFSGH,5,,0.30441715473255637,0.3737563794383997,0.0693392247058433
rppH-ptsP,2,Weak,0.12043167709496393,0.22781715519251847,0.10738547809755454
pabC-mltG-tmk-holB-ycfH,5,Weak,0.3001418783647581,0.33679462444807,0.03665274608331193
lldPRD,3,Weak,0.5391415990533965,0.6520579361487604,0.11291633709536386
ispDF,2,Weak,0.22264300714154803,0.4078184278234256,0.18517542068187756
yqaBA,2,Weak,0.4454810219862538,0.5305906696861786,0.08510964769992485
bamB-der,2,Weak,0.6519311050354522,0.6493302570008219,-0.002600848034630232
hybOABCDEFG,7,Weak,0.13418725656487734,0.26418494055501807,0.12999768399014072
nfrBA,2,,0.0711090444307508,0.03426418268206178,-0.03684486174868903
nudF-yqiB-cpdA-yqiA-parE,5,Weak,0.2685371547745195,0.4177880211620527,0.1492508663875332
ravA-viaA,2,Weak,0.24806153574155382,0.3134264058519516,0.06536487011039777
xanQ-guaD-ghxQ,2,Weak,-0.33359252622116453,0.5144422299076168,0.8480347561287813
wecA-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM,11,Weak,0.601494013321774,0.632474674484629,0.030980661162855028
sanA-yeiS,2,Weak,0.4434246469626362,0.65564940757382,0.21222476061118373
sbmA-yaiW,2,Weak,0.5522582812283767,0.6402423469537595,0.08798406572538275
lolA-rarA,2,Weak,0.8309523494728707,0.772512296280028,-0.05844005319284262
def-fmt,2,Weak,0.5470304135822092,0.6680484494272391,0.1210180358450299
ydgI-folM,2,Weak,0.48654405066487366,0.5230692959760621,0.03652524531118845
arsRBC,3,Weak,0.5230893935147365,0.8555411392928116,0.3324517457780751
dusB-fis,2,Weak,0.7349845191863634,0.643885366150972,-0.0910991530353914
codBA,2,Weak,0.42410493588068027,0.5170801832546565,0.09297524737397628
yaeQ-arfB-nlpE,3,Weak,0.296961285883399,0.46254134268594344,0.16558005680254445
moeAB,2,,0.006213504075105812,0.49767615090992445,0.49146264683481866
wbbIJK,3,Weak,0.8131628507628484,0.8379165445481821,0.024753693785333652
ratA-yfjF,2,Weak,0.34759408969390604,0.308415191108303,-0.03917889858560303
gspCDEFGHIJKLMO,4,Weak,0.19064646368895577,0.20460549788526153,0.013959034196305758
htrG-cca,2,Weak,0.6629039501588597,0.7732804837612253,0.11037653360236555
nrdHIEF,3,Strong,0.41252108777396485,0.5693667597243599,0.15684567195039506
basRS,2,,0.2894675144997235,0.6352556067560264,0.3457880922563029
purEK,2,,0.4702895943149103,0.34692612257188515,-0.12336347174302514
puuAP,2,Weak,0.3693548466623655,0.22020561250421905,-0.14914923415814646
nudC-hemE-nfi,3,Weak,0.3467935720727378,0.39721410960850667,0.05042053753576886
argX-hisR-leuT-proM,4,Weak,0.3145776051967324,0.6057639739766973,0.29118636877996495
yieEF,2,Weak,0.7561995803181011,0.8056011763055854,0.04940159598748428
pdeI-dgcI,2,Weak,0.40354212368558723,0.6994169580625,0.2958748343769128
yohJK,2,Weak,-0.26740165503534924,0.19568065847908972,0.46308231351443896
arnBCADTEF,3,Weak,0.3055654374350263,0.48072709753746984,0.17516166010244355
wcaKLM,2,Weak,0.5935213658455998,0.5729858691753567,-0.020535496670243125
yfbU-hxpA,2,Weak,0.32826104734352873,0.6991727418383372,0.3709116944948085
folP-glmM,2,Weak,0.359300081872246,0.31648752321956125,-0.04281255865268474
fdnGHI,2,,0.10231733165708295,0.7353244434434962,0.6330071117864133
mntR-ybiR,2,Weak,0.46370009074715723,0.41548956470620946,-0.048210526040947776
selAB,2,Weak,0.5488269647620568,0.45696364515926,-0.09186331960279681
tomB-hha,2,Weak,0.4785454068524684,0.6716643753288267,0.19311896847635834
lexA-dinF,2,Strong,0.6633302800613637,0.7692904959767938,0.10596021591543003
yffB-dapE-ypfN,3,Weak,0.384403662289873,0.6572827579665911,0.2728790956767181
eutBCLKR,5,Weak,0.054752858463030664,0.2625529085831449,0.20780005012011424
metZWV,3,Weak,0.23194758069703725,0.5495270916963758,0.31757951099933857
hemCDXY,4,,0.37453060650758596,0.4168227037286143,0.042292097221028335
mtlADR,3,Strong,0.16091507000844454,0.2278173527380598,0.06690228272961526
yciK-btuR,2,Weak,0.31861332057265396,0.1816752837598452,-0.13693803681280875
umpG-pcm,2,Weak,0.5477497609139674,0.6405339081042702,0.09278414719030281
aas-lplT,2,Weak,0.5449689869462374,0.5369590548292856,-0.008009932116951779
hslVU,2,Weak,0.7420428521596241,0.7953966799774769,0.053353827817852806
kefFC,2,Weak,0.28405934215807577,0.03163373863590223,-0.2524256035221735
ansA-pncA,2,Strong,0.11525481854914582,0.11630553266873166,0.0010507141195858355
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,12,Weak,0.3731906943296612,0.37243787541620227,-0.0007528189134589081
ygcNOP,2,Weak,0.5383459938162166,0.5918287852454076,0.05348279142919099
ppk-ppx,2,Weak,0.6137862206403417,0.640926561477443,0.027140340837101262
ydjXYZ-ynjABCD,4,Weak,0.1251647673860786,0.3758059791895438,0.2506412118034652
proQ-prc,2,Weak,0.26333479190326947,0.37882638620116715,0.11549159429789768
lysT-valT-lysW,3,Weak,0.46618377007587525,0.6358208489506295,0.16963707887475427
psd-mscM,2,Weak,0.395693099080092,0.5314344301571328,0.13574133107704078
yabPQ,2,Weak,0.1710256688175933,0.13781170402793083,-0.03321396478966246
folX-yfcH,2,Weak,0.20959045930387524,0.384523351960418,0.17493289265654274
yhiI-rbbA-yhhJ,3,Weak,0.4780794101538251,0.6317128770628767,0.1536334669090516
lgt-thyA,2,Weak,0.5620605853793411,0.5715673596534632,0.009506774274122054
yeeRST-cbeA-cbtA-yeeW,2,Weak,0.2720849669020056,0.2818622470226934,0.009777280120687792
zraSR,2,Weak,0.39866481305948304,0.435156695076229,0.03649188201674597
dcm-vsr,2,,0.26500842261330965,0.35765289610686185,0.0926444734935522
dosCP,2,Weak,-0.058504308057814404,0.6092585217190715,0.6677628297768858
potABCD,4,,0.4516956148992241,0.5614140640453185,0.10971844914609435
yddAB,2,Weak,-0.11444860578598165,0.5580934882533731,0.6725420940393547
sapABCDF,5,Weak,0.4192706274461182,0.4663552979496951,0.0470846705035769
ymfED,2,Weak,0.3735628723382278,0.7580312066048172,0.38446833426658933
tdcABCDEFG,4,Weak,0.19955526073394184,0.3872568459530346,0.18770158521909278
sufABCDSE,6,Weak,0.13713714709459374,0.4265884137734003,0.28945126667880655
glnHPQ,3,,0.6015491488322634,0.6136716016568577,0.012122452824594343
kbl-tdh,2,,0.49961401454346455,0.4780817173811867,-0.021532297162277836
ybgC-tolQRA,4,Strong,0.5395501167910125,0.4797150603208413,-0.05983505647017118
znuCB,2,Weak,0.5211484608659909,0.5397590932747715,0.01861063240878058
tehAB,2,Weak,-0.2571536160605,0.01470510576053781,0.2718587218210378
tamAB-ytfP,3,Weak,0.271039425145106,0.4158303982620039,0.14479097311689793
metBL,2,Strong,0.3619149833415804,0.609787595095636,0.24787261175405556
yieP-hsrA,2,Weak,0.3175184389574608,0.6855745007900791,0.3680560618326183
modEF,2,Weak,-0.15092830781310582,0.561899747442071,0.7128280552551769
nagBACD,4,Strong,0.3562204722594425,0.42354109803935597,0.06732062577991349
yecN-cmoAB,3,Weak,0.3796118403560855,0.55088759328339,0.17127575292730451
chbBCARFG,5,,0.36875266113309296,0.6679450750330996,0.29919241390000667
glyQS,2,Weak,0.7091563164627722,0.7478761490359849,0.038719832573212654
yicJI,2,Weak,0.5175474325472299,0.8162177410934611,0.2986703085462312
yobB-exoX,2,Weak,0.2847375137098366,0.7756016412285649,0.4908641275187283
dcyD-tcyLN,3,Weak,0.13034644445202165,0.4046833978557968,0.2743369534037752
higBA,2,Weak,0.6875698945508613,0.689467096981875,0.001897202431013767
lolCDE,3,Weak,0.6107048080656593,0.5080370918590664,-0.10266771620659287
hscBA-fdx-iscX,4,Weak,0.527659749872996,0.5723157342419234,0.04465598436892737
yihV-csqR,2,Weak,-0.2646569644760099,0.43205710709817974,0.6967140715741896
lsrRK,2,Weak,0.23380416991745304,0.5711864489826962,0.3373822790652432
ftsYEX,3,Weak,0.41298485841472915,0.6358075066577162,0.2228226482429871
yecDE,2,Weak,0.2771301924754065,0.35995754192871016,0.08282734945330367
rbsDACBZKR,6,Weak,0.4404081932491804,0.5456775159428073,0.10526932269362693
lepAB,2,Weak,0.7960020264057865,0.762802295973602,-0.03319973043218449
panE-yajL,2,Weak,0.0682084767887976,-0.02249591476478619,-0.09070439155358379
ydhIJK,3,Weak,0.5208389781270747,0.728115399393924,0.2072764212668493
yajC-secDF,4,Weak,0.6415950086797332,0.6364663105085044,-0.0051286981712287405
rcsF-trmO,2,Weak,0.42182717988209867,0.6420382887083457,0.220211108826247
yphCB,2,Weak,0.04592839781164007,0.5063504830380481,0.46042208522640804
iaaA-gsiABCD,5,Weak,0.20489387733480346,0.548683297525143,0.34378942019033953
rpoZ-spoT-trmH-recG,4,Weak,0.6039257513168707,0.6574771032479058,0.05355135193103511
yigGF,2,Weak,0.06556197808846762,0.5611969099196317,0.495634931831164
efeOB,2,Weak,0.13989991377319608,0.32449832046934196,0.18459840669614588
glpFKX,3,Weak,0.3458813273972193,0.47188406246694664,0.12600273506972737
dut-slmA,2,Weak,0.31581313225757,0.4398976657536645,0.1240845334960945
tsaB-yeaY,2,Weak,0.29139640736205225,0.43269093189411495,0.1412945245320627
secE-nusG,2,Weak,0.5680007400202682,0.5465921611930352,-0.021408578827233016
thrU-tyrU-glyT-thrT-tufB,5,Weak,0.5550102469597376,0.5202835248616401,-0.03472672209809746
hslR-hslO,3,Weak,0.46488207380133373,0.473245766967141,0.008363693165807262
sspAB,2,Strong,-0.02217716186362767,-0.11977932893076469,-0.09760216706713702
hprRS,2,Weak,-0.012904306471137212,0.3889550331488233,0.4018593396199605
aroF-tyrA,2,Weak,0.7691868814800376,0.7644080726069534,-0.004778808873084128
valZ-lysY,2,Weak,0.3269687144546949,0.6238590277201087,0.2968903132654138
fepA-entD,2,Weak,0.6475476961445314,0.690819486128759,0.04327178998422754
pyrSR-ypdC,3,Weak,-0.03654802332610934,0.34539490935809125,0.3819429326842006
glf-rfc,2,Weak,0.8208831464916213,0.8815908121983964,0.060707665706775105
rsfS-rlmH-mrdAB-rlpA,5,Weak,0.22080877019638914,0.3411627049974958,0.12035393480110665
leuS-lptE-holA-nadD-cobC,5,Weak,0.5233243952010316,0.5349784371250019,0.011654041923970349
melAB,2,Weak,0.2542178484876301,0.755634891310489,0.5014170428228588
mobAB,2,Weak,0.2989654930566135,0.3569902293417905,0.05802473628517696
mdtABCD-baeSR,6,Weak,0.28618919581066954,0.36527862456772264,0.0790894287570531
qseBC,2,Weak,0.04218515816557168,0.10267320126362073,0.060488043098049046
valVW,2,Weak,0.46605046308799897,0.8281004594043518,0.3620499963163529
yqjCDEK,4,Weak,0.11805489587653666,0.29805740214395154,0.18000250626741487
yifL-dapF-yigA-xerC-yigB,4,Weak,0.5052561774802484,0.363193556294491,-0.1420626211857574
rsmE-gshB,2,Weak,0.40386465263664395,0.5368621927319973,0.13299754009535336
nirBDC-cysG,3,Weak,0.16808785717158484,0.35982752973452997,0.19173967256294513
puuDRCBE,3,Weak,0.2003804700262565,0.5665820355743686,0.3662015655481121
ybjO-rlmC,2,Weak,0.08425307471266387,0.4343396137031908,0.35008653899052694
yqjA-mzrA,2,Weak,0.23967644769392188,0.43316429791664823,0.19348785022272635
fadBA,2,Weak,0.09190375808261082,0.7177728051394999,0.6258690470568891
ubiEJB,3,Strong,0.42193184295149216,0.47587513486375804,0.05394329191226588
uvrYC,2,,0.6142701241286768,0.7077502107033563,0.09348008657467954
atpIBEFHAGDC,9,Weak,0.3426961214029073,0.3517759236935359,0.009079802290628602
prlC-yhiQ,2,Weak,0.43625299938082385,0.7209356310760535,0.28468263169522967
yhdN-zntR,2,Weak,0.3504119091491141,0.6206317377389929,0.27021982858987886
yihXY-dtd-fabY,3,Weak,0.20185531677170268,0.2814595218747595,0.0796042051030568
trpLEDCBA,5,Weak,0.3458848530930206,0.6342740130201447,0.28838915992712416
