group,n_pairs,mean_standard,mean_operon,delta,winner
adjacent_same_training_neighbor,1323,0.34472548985686713,0.4162767373203302,0.07155124746346309,operon
adjacent_same_nonneighbor,550,0.19032664748574363,0.22114614517103814,0.030819497685294517,operon
adjacent_opposite_strand,894,0.14833772937084752,0.16153569168841672,0.0131979623175692,operon
random_pairs,550,0.04202378702878866,0.06072344610101336,0.0186996590722247,operon
