operon_name,n_genes,confidence,r_standard,r_operon,delta
lolA-rarA,2,Weak,0.8309523494728707,0.689830341385638,-0.14112200808723263
def-fmt,2,Weak,0.5470304135822092,0.55022073970136,0.0031903261191508214
ydgI-folM,2,Weak,0.48654405066487366,0.17440818773017353,-0.31213586293470014
arsRBC,3,Weak,0.5230893935147365,0.5250160307576736,0.0019266372429370682
dusB-fis,2,Weak,0.7349845191863634,0.7680169077063084,0.033032388519944944
codBA,2,Weak,0.42410493588068027,0.6100524081250689,0.18594747224438862
yaeQ-arfB-nlpE,3,Weak,0.296961285883399,0.3413509782823058,0.04438969239890683
moeAB,2,,0.006213504075105812,0.2876442551570772,0.2814307510819714
wbbIJK,3,Weak,0.8131628507628484,0.7979500532590235,-0.015212797503824982
ratA-yfjF,2,Weak,0.34759408969390604,0.28342003633544083,-0.06417405335846521
gspCDEFGHIJKLMO,4,Weak,0.19064646368895577,0.09071021356780541,-0.09993625012115036
htrG-cca,2,Weak,0.6629039501588597,0.7451912324527521,0.08228728229389237
nrdHIEF,3,Strong,0.41252108777396485,0.4721318344021716,0.05961074662820676
basRS,2,,0.2894675144997235,0.4426348738810286,0.1531673593813051
purEK,2,,0.4702895943149103,0.1180782920308349,-0.3522113022840754
puuAP,2,Weak,0.3693548466623655,0.21460192488611252,-0.154752921776253
nudC-hemE-nfi,3,Weak,0.3467935720727378,0.4066195471556738,0.05982597508293597
argX-hisR-leuT-proM,4,Weak,0.3145776051967324,0.4572518730931201,0.1426742678963877
yieEF,2,Weak,0.7561995803181011,0.7027055455789318,-0.05349403473916925
pdeI-dgcI,2,Weak,0.40354212368558723,0.4019200858763419,-0.0016220378092453025
yohJK,2,Weak,-0.26740165503534924,-0.2893299598642704,-0.021928304828921164
arnBCADTEF,3,Weak,0.3055654374350263,0.3680535452981479,0.06248810786312159
wcaKLM,2,Weak,0.5935213658455998,0.5973796937907214,0.0038583279451216423
yfbU-hxpA,2,Weak,0.32826104734352873,0.3580925002308329,0.029831452887304155
folP-glmM,2,Weak,0.359300081872246,0.37982337328865035,0.020523291416404355
fdnGHI,2,,0.10231733165708295,0.1395968984714183,0.037279566814335335
mntR-ybiR,2,Weak,0.46370009074715723,0.3236469925882421,-0.14005309815891515
selAB,2,Weak,0.5488269647620568,0.4599293475556834,-0.08889761720637346
tomB-hha,2,Weak,0.4785454068524684,0.6428661422800293,0.16432073542756087
lexA-dinF,2,Strong,0.6633302800613637,0.5088427362379997,-0.15448754382336405
yffB-dapE-ypfN,3,Weak,0.384403662289873,0.4719310702406414,0.08752740795076841
eutBCLKR,5,Weak,0.054752858463030664,0.058006261496565216,0.003253403033534552
metZWV,3,Weak,0.23194758069703725,0.2469547221632321,0.015007141466194862
hemCDXY,4,,0.37453060650758596,0.43999570261049786,0.0654650961029119
mtlADR,3,Strong,0.16091507000844454,0.22768695958801613,0.06677188957957159
yciK-btuR,2,Weak,0.31861332057265396,-0.07963254991859361,-0.3982458704912476
umpG-pcm,2,Weak,0.5477497609139674,0.5617346067097906,0.013984845795823153
aas-lplT,2,Weak,0.5449689869462374,0.637398860447406,0.0924298735011686
hslVU,2,Weak,0.7420428521596241,0.6957067096037904,-0.046336142555833626
kefFC,2,Weak,0.28405934215807577,0.0815462399165829,-0.20251310224149288
ansA-pncA,2,Strong,0.11525481854914582,-0.019844201916184183,-0.13509902046533
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,12,Weak,0.3731906943296612,0.36311896303353486,-0.010071731296126318
ygcNOP,2,Weak,0.5383459938162166,0.5721718279010898,0.03382583408487316
ppk-ppx,2,Weak,0.6137862206403417,0.3789016462930401,-0.23488457434730164
ydjXYZ-ynjABCD,4,Weak,0.1251647673860786,0.31197894175113045,0.18681417436505185
proQ-prc,2,Weak,0.26333479190326947,0.2742840962821642,0.010949304378894742
lysT-valT-lysW,3,Weak,0.46618377007587525,0.4892107915705545,0.02302702149467928
psd-mscM,2,Weak,0.395693099080092,0.44817117964395403,0.05247808056386205
yabPQ,2,Weak,0.1710256688175933,0.09258834399343552,-0.07843732482415777
folX-yfcH,2,Weak,0.20959045930387524,0.340427296153221,0.13083683684934574
yhiI-rbbA-yhhJ,3,Weak,0.4780794101538251,0.5261106971976443,0.04803128704381915
lgt-thyA,2,Weak,0.5620605853793411,0.5966566278921777,0.034596042512836545
yeeRST-cbeA-cbtA-yeeW,2,Weak,0.2720849669020056,0.36016318401310193,0.08807821711109631
zraSR,2,Weak,0.39866481305948304,0.41851417537492874,0.019849362315445707
dcm-vsr,2,,0.26500842261330965,0.18334225414032654,-0.08166616847298311
dosCP,2,Weak,-0.058504308057814404,0.03528496110603747,0.09378926916385187
potABCD,4,,0.4516956148992241,0.4850901119077924,0.03339449700856828
yddAB,2,Weak,-0.11444860578598165,0.12169004071006129,0.23613864649604294
sapABCDF,5,Weak,0.4192706274461182,0.4617716372001506,0.04250100975403237
ymfED,2,Weak,0.3735628723382278,0.4853472978927754,0.1117844255545476
tdcABCDEFG,4,Weak,0.19955526073394184,0.210362119994061,0.01080685926011915
sufABCDSE,6,Weak,0.13713714709459374,0.25875408795952853,0.1216169408649348
glnHPQ,3,,0.6015491488322634,0.5830620039041897,-0.018487144928073684
kbl-tdh,2,,0.49961401454346455,0.42566634678169835,-0.0739476677617662
ybgC-tolQRA,4,Strong,0.5395501167910125,0.4304390291677092,-0.1091110876233033
znuCB,2,Weak,0.5211484608659909,0.5491744063815115,0.028025945515520623
tehAB,2,Weak,-0.2571536160605,-0.031118972906521596,0.22603464315397842
tamAB-ytfP,3,Weak,0.271039425145106,0.33497987328530154,0.06394044814019556
metBL,2,Strong,0.3619149833415804,0.5293423759112591,0.1674273925696787
yieP-hsrA,2,Weak,0.3175184389574608,0.3057013749730426,-0.011817063984418175
modEF,2,Weak,-0.15092830781310582,0.08123340276557989,0.2321617105786857
nagBACD,4,Strong,0.3562204722594425,0.24475543605831782,-0.11146503620112466
yecN-cmoAB,3,Weak,0.3796118403560855,0.35599932729024913,-0.023612513065836338
chbBCARFG,5,,0.36875266113309296,0.5445525290895625,0.17579986795646957
glyQS,2,Weak,0.7091563164627722,0.6712491408994301,-0.03790717556334211
yicJI,2,Weak,0.5175474325472299,0.5538354815143328,0.036288048967102915
yobB-exoX,2,Weak,0.2847375137098366,0.6152221728140407,0.3304846591042041
dcyD-tcyLN,3,Weak,0.13034644445202165,0.07836038939616853,-0.05198605505585312
higBA,2,Weak,0.6875698945508613,0.6758362167785182,-0.01173367777234302
lolCDE,3,Weak,0.6107048080656593,0.500161009861633,-0.11054379820402627
hscBA-fdx-iscX,4,Weak,0.527659749872996,0.5349667927282765,0.007307042855280499
yihV-csqR,2,Weak,-0.2646569644760099,-0.13977798062914498,0.12487898384686491
lsrRK,2,Weak,0.23380416991745304,0.19149745157809944,-0.042306718339353594
ftsYEX,3,Weak,0.41298485841472915,0.5042876179828802,0.09130275956815109
yecDE,2,Weak,0.2771301924754065,0.35174019420826025,0.07461000173285376
