distance_group,n_pairs,mean_standard,mean_operon,delta
same_0_200,1336,0.34336008306997096,0.41418655234214263,0.07082646927217168
same_200_500,287,0.21256908718295597,0.23980099021028245,0.027231903027326476
same_500_1000,68,0.16913367506288976,0.2231054793187307,0.053971804255840944
same_1000_2000,74,0.16840812892891574,0.21887946167719105,0.05047133274827531
same_2000_5000,72,0.18188154420467,0.2067132581978205,0.024831713993150484
opp_0_200,431,0.1532788124047144,0.1659557724320374,0.01267696002732302
opp_200_500,236,0.17811529677024462,0.1760206390612139,-0.002094657709030723
opp_500_1000,62,0.15214843003569428,0.19005547296715292,0.037907042931458634
opp_1000_2000,65,0.10013469143343648,0.11498605486971017,0.01485136343627369
opp_2000_5000,57,0.11405079979349676,0.11573274353946691,0.001681943745970152
