group,n_pairs,mean_standard,mean_operon,delta,winner
adjacent_same_training_neighbor,1323,0.34472548985686713,0.6643840487923346,0.31965855893546746,operon
adjacent_same_nonneighbor,550,0.19032664748574363,0.23128412764855028,0.04095748016280665,operon
adjacent_opposite_strand,894,0.14833772937084752,0.1773227082011656,0.028984978830318087,operon
random_pairs,550,0.04202378702878866,0.0707796862279098,0.028755899199121138,operon
