distance_group,n_pairs,mean_standard,mean_operon,delta
same_0_200,1336,0.34336008306997096,0.6600323512940873,0.31667226822411637
same_200_500,287,0.21256908718295597,0.25124677984731647,0.0386776926643605
same_500_1000,68,0.16913367506288976,0.24857178772321978,0.07943811266033002
same_1000_2000,74,0.16840812892891574,0.20890968101119728,0.04050155208228154
same_2000_5000,72,0.18188154420467,0.21019566965073877,0.02831412544606876
opp_0_200,431,0.1532788124047144,0.1836771748182332,0.030398362413518815
opp_200_500,236,0.17811529677024462,0.2076265963071898,0.029511299536945174
opp_500_1000,62,0.15214843003569428,0.15953152290830605,0.007383092872611768
opp_1000_2000,65,0.10013469143343648,0.12180736853041421,0.021672677096977733
opp_2000_5000,57,0.11405079979349676,0.13882286240498837,0.024772062611491605
