experiment,baseline_experiment,neighbor_loss,lambda_val,huber_delta,regulondb_mean_delta,regulondb_median_delta,regulondb_pct_improved,regulondb_strong_mean_delta,proximity_delta__adjacent_same_training_neighbor,proximity_delta__adjacent_same_nonneighbor,proximity_delta__adjacent_opposite_strand,proximity_delta__random_pairs,corruption__masked_entry_corr,corruption__masked_entry_mse,corruption__downsample_recovery_corr,corruption__downsample_recovery_mse
corr_log1p_lambda0p01,shared_baseline,corr_log1p,0.01,0.1,0.010377096335213543,0.01027101577785135,57.67857142857142,-0.011124373881984605,0.0113547108182908,0.0089033151812719,0.0072136745457747,0.0058581381279465,-0.0002546139221115,0.0001020020683668,-0.0001817304501132,0.0001569717140199
corr_log1p_lambda0p05,shared_baseline,corr_log1p,0.05,0.1,0.031149628396709726,0.0232231407517176,63.39285714285714,0.006204799705739144,0.0426123256052304,0.020600540596332,0.0140001705345886,0.0169999672522132,-0.0002751300348423,-2.0762234800741908e-05,0.0001698595402023,-5.253821075612564e-05
corr_log1p_lambda0p1,shared_baseline,corr_log1p,0.1,0.1,0.052534291666661306,0.03674819787068845,63.21428571428571,0.045565511241330806,0.071551247463463,0.0308194976852945,0.0131979623175692,0.0186996590722247,-0.0002078315202324,0.0004238082807574,0.0006673433174814,0.000541572956223
corr_log1p_lambda0p5,shared_baseline,corr_log1p,0.5,0.1,0.16400074293271882,0.12165724810474375,82.5,0.11959340659262294,0.2238262198552648,0.0323788081584493,0.0197798706840218,0.0166692207483492,-0.0002584106835723,0.0004902529602723,0.000119375179259,0.0005669272916541
corr_log1p_lambda1,shared_baseline,corr_log1p,1.0,0.1,0.22903652456264215,0.18020818841660205,85.71428571428571,0.21437316538878595,0.3196585589354674,0.0409574801628066,0.028984978830318,0.0287558991991211,-0.000425309582411,0.0003087445867073,-0.0003213063743633,0.0003701459371363
