distance_group,n_pairs,mean_standard,mean_operon,delta
same_0_200,1336,0.34336008306997096,0.3859725679284607,0.04261248485848973
same_200_500,287,0.21256908718295597,0.2325220630957837,0.019952975912827714
same_500_1000,68,0.16913367506288976,0.2002262242570093,0.03109254919411955
same_1000_2000,74,0.16840812892891574,0.18009847265282028,0.01169034372390454
same_2000_5000,72,0.18188154420467,0.19908793158348342,0.017206387378813415
opp_0_200,431,0.1532788124047144,0.1671269875677286,0.013848175163014204
opp_200_500,236,0.17811529677024462,0.1899905958552579,0.01187529908501328
opp_500_1000,62,0.15214843003569428,0.16041982762871423,0.008271397593019952
opp_1000_2000,65,0.10013469143343648,0.10224189274251945,0.0021072013090829705
opp_2000_5000,57,0.11405079979349676,0.139017469702832,0.02496666990933523
